date,open,high,low,close,volume
1997-09-08,1253.145,1257.549,1245.744,1255.229,548425400
1997-09-05,1250.604,1253.35,1241.217,1251.55,472278000
1997-09-04,1245.775,1253.153,1245.64,1251.298,544704900
1997-09-03,1223.621,1243.326,1223.461,1240.82,575803800
1997-09-02,1228.475,1232.691,1215.922,1226.303,589620600
1997-09-01,1224.177,1230.066,1219.101,1229.865,679821600
1997-08-29,1214.31,1223.071,1209.479,1221.064,731864300
1997-08-28,1201.059,1216.076,1194.675,1213.892,694265700
1997-08-27,1195.428,1199.474,1188.331,1198.513,543372000
1997-08-26,1186.069,1194.131,1181.243,1194.043,554979200
1997-08-25,1175.445,1184.334,1175.384,1184.096,453960300
1997-08-22,1159.386,1174.486,1156.826,1171.833,433739900
1997-08-21,1148.387,1165.218,1147.816,1164.545,400722400
1997-08-20,1135.05,1144.646,1133.742,1144.639,250738300
1997-08-19,1134.617,1143.201,1128.109,1132.905,257198100
1997-08-18,1139.606,1139.606,1116.148,1134.634,335746400
1997-08-15,1174.183,1174.882,1133.89,1143.064,476761400
1997-08-14,1120.471,1168.335,1120.245,1168.113,395297100
1997-08-13,1139.246,1153.495,1118.202,1120.127,346081500
1997-08-12,1177.261,1183.436,1145.748,1146.809,393690100
1997-08-11,1206.456,1206.759,1182.447,1184.083,503650800
1997-08-08,1205.952,1216.561,1201.358,1206.053,703374100
1997-08-07,1167.927,1199.24,1161.632,1199.24,344869900
1997-08-06,1196.035,1197.445,1170.267,1171.941,297232100
1997-08-05,1203.358,1207.228,1193.696,1196.274,359745700
1997-08-04,1196.254,1201.92,1188.676,1200.333,432669100
1997-08-01,1191.651,1194.031,1182.223,1192.828,328647800
1997-07-31,1184.937,1192.2,1179.715,1189.76,376326600
1997-07-30,1157.09,1179.478,1157.004,1179.421,365235100
1997-07-29,1137.319,1161.195,1133.175,1153.229,303311300
1997-07-28,1167.813,1167.88,1138.475,1141.777,305953800
1997-07-25,1166.566,1177.653,1158.136,1170.862,311225300
1997-07-24,1194.705,1200.309,1172.367,1174.217,332595700
1997-07-23,1219.055,1223.823,1194.703,1198.861,480842400
1997-07-22,1189.118,1208.262,1163.468,1208.248,455263000
1997-07-21,1215.839,1218.481,1188.875,1193.525,494028000
1997-07-18,1199.399,1210.44,1191.289,1209.857,476596400
1997-07-17,1188.267,1203.504,1180.934,1197.226,457871800
1997-07-16,1201.595,1204.855,1184.445,1190.826,527363000
1997-07-15,1189.474,1201.214,1180.191,1200.114,572759600
1997-07-14,1163.293,1185.779,1158.447,1185.72,557316500
1997-07-11,1116.415,1155.056,1114.397,1154.794,396597400
1997-07-10,1121.259,1137.869,1115.212,1120.154,335419000
1997-07-09,1113.641,1122.674,1104.086,1120.841,321446600
1997-07-08,1092.799,1115.433,1066.044,1109.666,367520200
